"PreMajor","IMajor","FMajor","Masters","PhD","Prof","NM","total","MeanAge","Males","White","FT","Transfer","Resident","Foreign","MeanCredits","MeanTransCredit","MeanUCredit","MeanUGPA","MeanHSGPA","MeanTransGPA","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","Fresh","Soph","Jr","Sen","Grad","C1","C2","C3","C4","C5","HS1","HS2","HS3","HS4","HS5","T1","T2","T3","T4","T5","cnum","secnum","term","Dept"
"15","2","40","0","0","0","1","58","23.9","57%","74%","78%","55%","91%","0%","12.6","51.1","50.5","2.85","3.32","3.09","Sociology","Undeclared","Economics","Political Science","Psychology","Law","Human Develop & Family Std","SS Behav Science & Health","English","French","0%","24%","45%","31%","0%","SOC 3111 - Research Methods","SOC 3140 - Social Theory","SOC 3112 - Social Statistics","SOC 3561 - Criminology","SOC 3337 - Sociology Of Gender","HIGHLAND HIGH SCHOOL","JUAN DIEGO CATHOLIC","JUDGE MEMORIAL HIGH","MURRAY HIGH SCHOOL","ALTA HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","DIXIE STATE COLLEGE","WEBER STATE UNIVERSITY","CALIFORNIA STATE UNIVERSITY FULLERTON",3030,1,1054,"POL S"
"8","3","30","0","0","0","0","41","24.8","32%","80%","80%","46%","98%","0%","13.4","49.9","57.9","2.87","3.42","3.20","Sociology","Psychology","Undeclared","Intmd Psychology","Education","Human Develop & Family Std","Law","Social Work","Economics","SS Behav Science & Health","0%","15%","46%","39%","0%","SOC 3112 - Social Statistics","SOC 3111 - Research Methods","SOC 3020 - Social Psychology","SOC 3380 - Race/Ethncty/Cls/Gender","SOC 3561 - Criminology","ALTA HIGH SCHOOL","HUNTER HIGH SCHOOL","JORDAN HIGH SCHOOL","OLYMPUS HIGH SCHOOL","PARK CITY HIGH SCHOO","SALT LAKE COMMUNITY COLLEGE","DIXIE STATE COLLEGE","EL CAMINO COLLEGE","PHOENIX COLLEGE","SNOW COLLEGE",3030,2,1054,"POL S"
"10","1","46","0","0","0","0","57","25.6","56%","72%","72%","56%","89%","0%","12.9","58.3","59.8","2.77","3.30","2.89","Sociology","Political Science","Mass Communication","Undeclared","International Studies","Social Work","Economics","Human Develop & Family Std","Psychology","Environmental Studies","4%","11%","28%","58%","0%","SOC 3112 - Social Statistics","WRTG 3400 - Professional Writing","PSYCH 3400 - Abnormal Behavior","SOC 3111 - Research Methods","SOC 3140 - Social Theory","BOUNTIFUL HIGH SCHOO","BRIGHTON HIGH SCHOOL","SKYLINE HIGH SCHOOL","EAST HIGH SCHOOL","GRANGER HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH STATE UNIVERSITY","UTAH VALLEY STATE COLLEGE","WEBER STATE UNIVERSITY","ARMY EDUCATION CENTER",3450,1,1054,"POL S"
"0","0","1","0","0","0","0","1","24.0","0%","0%","100%","0%","100%","0%","13.0","35.5","76.0","3.64","2.83","3.04","Sociology",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0%","0%","0%","100%","0%","PSYCH 3903 - Modes: Collab Learning","SOC 3471 - Soc Of Health","SOC 3965 - Special Topics","SOC 4999 - Honors Thesis/Project","","OLYMPUS HIGH SCHOOL",NA,NA,NA,NA,"0","0","0","0","0",4999,1,1054,"POL S"
"12","3","39","0","0","0","1","55","23.4","47%","69%","84%","64%","87%","4%","12.9","52.8","46.2","2.77","3.47","3.01","Sociology","Undeclared","Intmd Psychology","Political Science","Social Work","Medical Lab Science","Art","SS Behav Science & Health","Civil Engg","Business","4%","25%","36%","35%","0%","SOC 3111 - Research Methods","SOC 3112 - Social Statistics","SOC 3337 - Sociology Of Gender","SOC 3561 - Criminology","SOC 3438 - Soc of Marriage & Fam","BINGHAM HIGH SCHOOL","HIGHLAND HIGH SCHOOL","SKYLINE HIGH SCHOOL","ANTIOCH HIGH SCHOOL","BEAR RIVER HIGH SCHO","SALT LAKE COMMUNITY COLLEGE","WEBER STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY","UTAH STATE UNIVERSITY","UTAH VALLEY STATE COLLEGE",3140,1,1058,"POLS"
"6","6","27","0","0","0","1","40","23.8","60%","78%","73%","48%","90%","0%","12.6","43.8","52.1","3.01","3.44","3.04","Sociology","Intmd Psychology","Undeclared","Intmd Business","Psychology","Speech Communication","Social Work","SS Behav Science & Health","Consumer & Community Stds","Business","8%","25%","35%","33%","0%","SOC 3140 - Social Theory","SOC 3560 - Deviant Beh/Soc Control","PSY 3000 - Statistical Methods Psy","SOC 3561 - Criminology","SOC 3471 - Soc Of Health","ALTA HIGH SCHOOL","HILLCREST HIGH SCHOO","BINGHAM HIGH SCHOOL","BOUNTIFUL HIGH SCHOO","DAVIS HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","BRIGHAM YOUNG UNIVERSITY","LDS BUSINESS COLLEGE","MESA COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE",3020,1,1064,"POLS"
"10","3","43","0","0","0","0","56","23.8","55%","71%","88%","55%","88%","0%","13.1","49.5","53.0","2.70","3.44","2.95","Sociology","Political Science","Undeclared","Psychology","Social Work","Intmd Psychology","Education","Exercise & Sport Sci","Economics","Art","0%","18%","48%","34%","0%","SOC 3561 - Criminology","SOC 3112 - Social Statistics","SOC 3111 - Research Methods","PSY 3400 - Abnormal Behavior","SOC 3334 - American Class System","EAST HIGH SCHOOL","SKYLINE HIGH SCHOOL","BRIGHTON HIGH SCHOOL","MURRAY HIGH SCHOOL","ALTA HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","BRIGHAM YOUNG UNIVERSITY","UTAH STATE UNIVERSITY","WESTMINSTER COLLEGE OF SALT LAKE CITY","COFFEYVILLE COMMUNITY COLLEGE",3030,1,1064,"POLS"
"11","1","35","0","0","0","1","48","23.8","40%","79%","73%","56%","94%","0%","12.5","43.6","51.8","3.03","3.55","3.23","Sociology","Undeclared","Psychology","Mass Communication","Speech Communication","Political Science","Biology","Social Work","Mid East Std:Arabic","Parks Recreation & Tourism","4%","21%","44%","31%","0%","SOC 3140 - Social Theory","SOC 3111 - Research Methods","SOC 3112 - Social Statistics","SOC 3471 - Soc Of Health","SOC 3965 - Special Topics","HIGHLAND HIGH SCHOOL","ALTA HIGH SCHOOL","BRIGHTON HIGH SCHOOL","MURRAY HIGH SCHOOL","GRANGER HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","CLEMSON UNIVERSITY","DIABLO VALLEY COLLEGE","MOORPARK COLLEGE",3030,2,1064,"POLS"
"4","2","26","0","0","0","0","32","25.1","44%","81%","81%","50%","97%","0%","12.8","46.4","62.4","2.84","3.39","3.20","Sociology","Undeclared","Human Develop & Family Std","Intmd Psychology","English","Theatre","Mass Communication","Business","Film Studies","Communication Skills","3%","13%","34%","50%","0%","SOC 3111 - Research Methods","SOC 3112 - Social Statistics","SOC 3561 - Criminology","SOC 3562 - Juvenile Delinquency","SOC 3334 - American Class System","OLYMPUS HIGH SCHOOL","SKYLINE HIGH SCHOOL","BELLEVUE HIGH SCHOOL","BRIGHTON HIGH SCHOOL","EAST CARBON HIGH SCH","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","BARSTOW COLLEGE","COLLEGE OF EASTERN UTAH","DIXIE STATE COLLEGE",3140,1,1064,"POLS"
"9","4","41","0","0","0","1","55","22.6","56%","69%","91%","62%","82%","4%","13.4","54.4","56.6","2.78","3.40","3.12","Sociology","Undeclared","Economics","Business","Intmd Psychology","Psychology","Mass Communication","Medicine","Human Develop & Family Std","SS Behav Science & Health","4%","15%","29%","53%","0%","SOC 3337 - Sociology Of Gender","SOC 3112 - Social Statistics","SOC 3111 - Research Methods","SOC 3650 - Population & Society","SOC 3560 - Deviant Beh/Soc Control","BRIGHTON HIGH SCHOOL","ALTA HIGH SCHOOL","AMERICAN FORK HIGH S","COTTONWOOD HIGH SCHO","DAV STARR JORDAN HIG","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","WEBER STATE UNIVERSITY","DIXIE STATE COLLEGE","SNOW COLLEGE",3030,1,1068,"POLS"
"8","4","39","0","0","0","0","51","23.3","47%","82%","84%","53%","96%","0%","12.7","44.5","62.5","2.89","3.37","3.11","Sociology","Undeclared","Psychology","Intmd Psychology","Political Science","Education","Medicine","Business","Mechanical Engg","International Studies","0%","12%","43%","45%","0%","SOC 3111 - Research Methods","SOC 3020 - Social Psychology","SOC 3560 - Deviant Beh/Soc Control","SOC 3337 - Sociology Of Gender","SOC 3965 - Special Topics","HIGHLAND HIGH SCHOOL","JUDGE MEMORIAL HIGH","MURRAY HIGH SCHOOL","EAST HIGH SCHOOL","SKYLINE HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","DIXIE STATE COLLEGE","UTAH STATE UNIVERSITY","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY",3140,1,1068,"POLS"
"0","0","1","0","0","0","0","1","26.0","100%","0%","100%","100%","100%","0%","15.0","77.0","49.0","3.82","0.00","3.77","Sociology",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0%","0%","0%","100%","0%","HONOR 3214 - Foundations/Soc Sci","HONOR 3700 - Honors Think Tank","IS 2010 - Computer Essentials","SOC 4999 - Honors Thesis/Project","","0","0","0","0","0","SALT LAKE COMMUNITY COLLEGE",NA,NA,NA,NA,4999,1,1068,"POLS"
"16","4","27","0","0","0","1","48","23.6","50%","75%","77%","44%","98%","0%","12.5","43.4","51.6","2.78","3.29","3.12","Sociology","Psychology","Undeclared","Intmd Psychology","Social Work","Business","Art","Biology","Intmd Business","Education","4%","31%","27%","38%","0%","SOC 3140 - Social Theory","SOC 3638 - Soc of Marriage & Fam","SOC 3112 - Social Statistics","SOC 3111 - Research Methods","PHIL 1000 - Intro: Survey of Philosophy","EAST HIGH SCHOOL","SKYLINE HIGH SCHOOL","BINGHAM HIGH SCHOOL","PARK CITY HIGH SCHOO","WEST HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","WEBER STATE UNIVERSITY","UTAH VALLEY STATE COLLEGE","DIXIE STATE COLLEGE","SNOW COLLEGE",3020,1,1074,"POLS"
"9","3","26","0","0","0","0","38","22.3","58%","68%","79%","32%","79%","3%","13.7","48.1","55.5","2.91","3.29","3.24","Sociology","Psychology","Intmd Psychology","Business","Political Science","Electrical Engg","Medicine","Undeclared","Mass Communication","Education","5%","21%","29%","45%","0%","SOC 3638 - Soc of Marriage & Fam","SOC 3561 - Criminology","SOC 3965 - Special Topics","HIST 1700 - American Civilization","SOC 3111 - Research Methods","BRIGHTON HIGH SCHOOL","HILLCREST HIGH SCHOO","VIEWMONT HIGH SCHOOL","ADOLFO CAMARILLO HIG","CLEARFIELD HIGH SCHO","SALT LAKE COMMUNITY COLLEGE","UTAH STATE UNIVERSITY","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY","LDS BUSINESS COLLEGE",3030,1,1074,"POLS"
"4","5","19","0","0","0","0","28","24.8","36%","93%","75%","75%","96%","0%","13.8","61.0","45.7","2.91","3.46","3.14","Sociology","Intmd Psychology","Undeclared","SS Behav Science & Health","Psychology","Human Develop & Family Std","Pharmacy","Computer Science","International Studies",NA,"0%","14%","46%","39%","0%","SOC 3112 - Social Statistics","PSY 3230 - Adult Devel And Aging","SOC 3337 - Sociology Of Gender","PSY 3000 - Statistical Methods Psy","SOC 3562 - Juvenile Delinquency","COTTONWOOD HIGH SCHO","HIGHLAND HIGH SCHOOL","HILLCREST HIGH SCHOO","JORDAN HIGH SCHOOL","JUAN DIEGO CATHOLIC","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","UTAH STATE UNIVERSITY","DIXIE STATE COLLEGE","COLUMBIA COLLEGE",3030,2,1074,"POLS"
"0","0","1","0","0","0","0","1","26.0","100%","0%","100%","100%","100%","0%","15.0","77.0","61.0","3.77","0.00","3.77","Sociology",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0%","0%","0%","100%","0%","MGT 3500 - Princ Of Mgt","MGT 4650 - Princ Of Quality Mgt","MKTG 4840 - Interntl Marketing","SOC 4999 - Honors Thesis/Project","","0","0","0","0","0","SALT LAKE COMMUNITY COLLEGE",NA,NA,NA,NA,4999,1,1074,"POLS"
"2","1","15","0","0","0","0","18","23.3","56%","72%","89%","44%","89%","0%","13.6","54.6","62.6","3.25","3.35","3.22","Sociology","Psychology","Political Science","Intmd Psychology","History Tchg","Undeclared","International Studies","Mass Communication",NA,NA,"0%","17%","22%","61%","0%","PSY 3120 - Cognitive Psychology","PSY 2800 - Psychology of Love","SOC 3020 - Social Psychology","SOC 3111 - Research Methods","SOC 3561 - Criminology","JUDGE MEMORIAL HIGH","EAST HIGH SCHOOL","OGDEN SENIOR HIGH SC","PARK CITY HIGH SCHOO","PORTSMOUTH HIGH SCHO","SALT LAKE COMMUNITY COLLEGE","SOUTHERN UTAH UNIVERSITY","UTAH STATE UNIVERSITY","WEBER STATE UNIVERSITY",NA,3030,1,1078,"POLS"
"3","1","30","0","0","0","0","34","25.9","29%","79%","53%","62%","97%","0%","10.4","62.3","52.8","2.94","3.52","3.20","Sociology","Undeclared","Psychology","Intmd Psychology","English","Gender Studies","Medicine","Political Science","Human Develop & Family Std",NA,"0%","12%","35%","53%","0%","SOC 3111 - Research Methods","SOC 3140 - Social Theory","SOC 3560 - Deviant Beh/Soc Control","SOC 1015 - Intro to Data Analysis","SOC 3593 - Criminology Internship","KEARNS HIGH SCHOOL","BRIGHTON HIGH SCHOOL","MURRAY HIGH SCHOOL","JORDAN HIGH SCHOOL","JUDGE MEMORIAL HIGH","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY","UTAH STATE UNIVERSITY","VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIV",3030,70,1078,"POLS"
"14","2","16","0","0","0","0","32","24.8","50%","72%","84%","38%","94%","0%","13.0","54.7","35.7","2.80","3.37","2.94","Sociology","Psychology","Undeclared","Business","Medicine","Computer Engineering","History","Anthropology","Intmd Business","Mass Communication","13%","16%","47%","25%","0%","SOC 3111 - Research Methods","SOC 3030 - Social Structure","SOC 3140 - Social Theory","BUS 1050 - Foundations of Business","ECON 2010 - Princ Of Microeconomics","MURRAY HIGH SCHOOL","TAYLORSVILLE HIGH SC","ALTA HIGH SCHOOL","BEN LOMOND HIGH SCHO","BOUNTIFUL HIGH SCHOO","SALT LAKE COMMUNITY COLLEGE","COLLEGE OF EASTERN UTAH","COVENANT COLLEGE","FLORIDA COMMUNITY COLLEGE OF JACKSONVILLE",NA,3020,1,1084,"POLS"
"13","1","19","0","0","0","0","33","23.4","45%","79%","82%","52%","91%","0%","13.2","44.9","40.3","3.10","3.42","3.12","Sociology","Education","Political Science","Business","Economics","Medicine","Mid East Std:Arabic","Intmd Psychology","Health Promotion & Educatn","Anthropology","6%","27%","36%","30%","0%","SOC 3111 - Research Methods","SOC 3562 - Juvenile Delinquency","SOC 3380 - Race/Ethncty/Cls/Gender","SOC 3020 - Social Psychology","SOC 3650 - Population & Society","HIGHLAND HIGH SCHOOL","MURRAY HIGH SCHOOL","BEN LOMOND HIGH SCHO","BRIGHTON HIGH SCHOOL","EAST HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH STATE UNIVERSITY","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY - IDAHO","SHEPHERD UNIVERSITY",3030,1,1084,"POLS"
"4","1","21","0","0","0","0","26","25.1","35%","81%","88%","54%","85%","0%","13.7","55.7","52.6","3.01","3.26","3.00","Sociology","Psychology","Undeclared","Mass Communication","English","Spanish","History Tchg","Consumer & Community Stds","Economics","Law","0%","15%","42%","42%","0%","SOC 3365 - Ethnic Minorities Amer","SOC 3111 - Research Methods","SOC 3020 - Social Psychology","SOC 3030 - Social Structure","SOC 3741 - Sociology of Migration","BRIGHTON HIGH SCHOOL","EAST HIGH SCHOOL","JUDGE MEMORIAL HIGH","LACONIA HIGH SCHOOL","MURRAY HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY STATE COLLEGE","BRIGHAM YOUNG UNIVERSITY - IDAHO","FLORIDA COMMUNITY COLLEGE OF JACKSONVILLE","GROSSMONT COLLEGE",3140,1,1084,"POLS"
"3","1","13","0","0","0","1","18","27.8","44%","78%","89%","50%","100%","0%","13.1","45.9","58.4","2.88","3.48","3.11","Sociology","Mass Communication","Speech Communication","Electrical Engg","Human Develop & Family Std","Intmd Business","Anthropology","Psychology","Business","Political Science","6%","0%","39%","56%","0%","SOC 3111 - Research Methods","SOC 3140 - Social Theory","SOC 3638 - Soc of Marriage & Fam","SOC 3563 - Policing in U.S. Society","FCS 3630 - Strengthening Families","ALTA HIGH SCHOOL","BRIGHTON HIGH SCHOOL","HEMET HIGH SCHOOL","JORDAN HIGH SCHOOL","LAYTON HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","COLLEGE OF EASTERN UTAH","LDS BUSINESS COLLEGE","MID-AMERICA NAZARENE COLLEGE",NA,3030,1,1088,"POLS"
"7","0","23","0","0","0","0","30","24.9","57%","77%","83%","53%","97%","0%","13.8","43.2","53.1","3.14","3.40","3.11","Sociology","Psychology","Political Science","Speech Communication","Anthropology","Undeclared","English","Mathematics","History",NA,"0%","23%","23%","53%","0%","SOC 3112 - Social Statistics","SOC 3561 - Criminology","SOC 3638 - Soc of Marriage & Fam","SOC 3380 - Race/Ethncty/Cls/Gender","PSY 3250 - Abnormal Child Psych","BRIGHTON HIGH SCHOOL","EAST HIGH SCHOOL","VIEWMONT HIGH SCHOOL","COTTONWOOD HIGH SCHO","HIGHLAND HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","WEBER STATE UNIVERSITY","SNOW COLLEGE","UTAH VALLEY UNIVERSITY","WESTERN WYOMING COMMUNITY COLLEGE",3140,1,1088,"POLS"
"0","0","1","0","0","0","0","1","30.0","100%","100%","100%","100%","100%","0%","18.0","46.0","51.5","4.00","0.00","3.98","Sociology",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0%","0%","0%","100%","0%","FCS 3450 - Family Economic Issues","SOC 3111 - Research Methods","SOC 3140 - Social Theory","SOC 3337 - Sociology Of Gender","SOC 5120 - Statistics I","0","0","0","0","0","SALT LAKE COMMUNITY COLLEGE",NA,NA,NA,NA,5120,1,1088,"POLS"
