"PreMajor","IMajor","FMajor","Masters","PhD","Prof","NM","total","MeanAge","Males","White","FT","Transfer","Resident","Foreign","MeanCredits","MeanTransCredit","MeanUCredit","MeanUGPA","MeanHSGPA","MeanTransGPA","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","Fresh","Soph","Jr","Sen","Grad","C1","C2","C3","C4","C5","HS1","HS2","HS3","HS4","HS5","T1","T2","T3","T4","T5","cnum","secnum","term","Dept"
"16","4","27","0","0","0","1","48","23.6","50%","75%","77%","44%","98%","0%","12.5","43.4","51.6","2.78","3.29","3.12","Sociology","Psychology","Undeclared","Intmd Psychology","Social Work","Business","Art","Biology","Intmd Business","Education","4%","31%","27%","38%","0%","SOC 3140 - Social Theory","SOC 3638 - Soc of Marriage & Fam","SOC 3112 - Social Statistics","SOC 3111 - Research Methods","PHIL 1000 - Intro: Survey of Philosophy","EAST HIGH SCHOOL","SKYLINE HIGH SCHOOL","BINGHAM HIGH SCHOOL","PARK CITY HIGH SCHOO","WEST HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","WEBER STATE UNIVERSITY","UTAH VALLEY STATE COLLEGE","DIXIE STATE COLLEGE","SNOW COLLEGE",3020,1,1074,"GEOG"
"0","0","1","0","0","0","0","1","26.0","100%","0%","100%","100%","100%","0%","15.0","77.0","61.0","3.77","0.00","3.77","Sociology",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0%","0%","0%","100%","0%","MGT 3500 - Princ Of Mgt","MGT 4650 - Princ Of Quality Mgt","MKTG 4840 - Interntl Marketing","SOC 4999 - Honors Thesis/Project","","0","0","0","0","0","SALT LAKE COMMUNITY COLLEGE",NA,NA,NA,NA,4999,1,1074,"GEOG"
"6","1","18","0","0","0","0","25","25.2","60%","72%","64%","40%","96%","0%","12.8","50.2","51.9","3.08","3.42","3.40","Undeclared","Sociology","English","Psychology","Business","Art","Intmd Psychology","Parks Recreation & Tourism","Chemistry","Political Science","8%","20%","36%","36%","0%","SOC 3112 - Social Statistics","SOC 3560 - Deviant Beh/Soc Control","ESSF 1057 - Yoga Elementary","SOC 3561 - Criminology","SOC 3334 - American Class System","EAST HIGH SCHOOL","HIGHLAND HIGH SCHOOL","ROY HIGH SCHOOL","WEST HIGH SCHOOL","BRIGHTON HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","BRIGHAM YOUNG UNIVERSITY","DIXIE STATE COLLEGE","SEATTLE UNIVERSITY","WEBER STATE UNIVERSITY",3040,1,1078,"GEOG"
"11","2","29","0","0","0","0","42","25.7","50%","81%","79%","52%","98%","0%","12.8","50.7","59.1","2.93","3.46","3.20","Sociology","Psychology","Art","Intmd Psychology","Marketing","Philosophy","English","Economics","Undeclared","Physical Therapy","2%","12%","38%","48%","0%","SOC 3111 - Research Methods","SOC 3112 - Social Statistics","SOC 3560 - Deviant Beh/Soc Control","SOC 3561 - Criminology","SOC 3030 - Social Structure","OLYMPUS HIGH SCHOOL","ALTA HIGH SCHOOL","BAYSIDE HIGH SCHOOL","BOISE HIGH SCHOOL","BRIGHTON HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","BRIGHAM YOUNG UNIVERSITY - IDAHO","COLLEGE OF EASTERN UTAH","SHEPHERD UNIVERSITY","SNOW COLLEGE",3140,2,1078,"GEOG"
"14","2","16","0","0","0","0","32","24.8","50%","72%","84%","38%","94%","0%","13.0","54.7","35.7","2.80","3.37","2.94","Sociology","Psychology","Undeclared","Business","Medicine","Computer Engineering","History","Anthropology","Intmd Business","Mass Communication","13%","16%","47%","25%","0%","SOC 3111 - Research Methods","SOC 3030 - Social Structure","SOC 3140 - Social Theory","BUS 1050 - Foundations of Business","ECON 2010 - Princ Of Microeconomics","MURRAY HIGH SCHOOL","TAYLORSVILLE HIGH SC","ALTA HIGH SCHOOL","BEN LOMOND HIGH SCHO","BOUNTIFUL HIGH SCHOO","SALT LAKE COMMUNITY COLLEGE","COLLEGE OF EASTERN UTAH","COVENANT COLLEGE","FLORIDA COMMUNITY COLLEGE OF JACKSONVILLE",NA,3020,1,1084,"GEOG"
"13","1","34","0","0","0","1","49","24.8","55%","76%","82%","37%","94%","0%","12.5","48.5","55.6","2.88","3.38","3.21","Sociology","Undeclared","Psychology","Economics","Chemistry","Medicine","Business","Film Studies","Art","Intmd Psychology","14%","18%","33%","35%","0%","COMM 1270 - Analysis Of Argument","SOC 3337 - Sociology Of Gender","SOC 3638 - Soc of Marriage & Fam","PHYS 2010 - General Physics I","SOC 3140 - Social Theory","SKYLINE HIGH SCHOOL","EAST HIGH SCHOOL","KEARNS HIGH SCHOOL","OLYMPUS HIGH SCHOOL","WEST HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UNIVERSITY OF AKRON, MAIN CAMPUS","BRIGHAM YOUNG UNIVERSITY - IDAHO","ROCHESTER COMMUNITY COLLEGE","SOUTHERN UTAH UNIVERSITY",3040,1,1088,"GEOG"
"7","0","23","0","0","0","0","30","24.9","57%","77%","83%","53%","97%","0%","13.8","43.2","53.1","3.14","3.40","3.11","Sociology","Psychology","Political Science","Speech Communication","Anthropology","Undeclared","English","Mathematics","History",NA,"0%","23%","23%","53%","0%","SOC 3112 - Social Statistics","SOC 3561 - Criminology","SOC 3638 - Soc of Marriage & Fam","SOC 3380 - Race/Ethncty/Cls/Gender","PSY 3250 - Abnormal Child Psych","BRIGHTON HIGH SCHOOL","EAST HIGH SCHOOL","VIEWMONT HIGH SCHOOL","COTTONWOOD HIGH SCHO","HIGHLAND HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","WEBER STATE UNIVERSITY","SNOW COLLEGE","UTAH VALLEY UNIVERSITY","WESTERN WYOMING COMMUNITY COLLEGE",3140,1,1088,"GEOG"
"7","9","55","0","0","0","1","72","24.8","38%","81%","78%","51%","96%","1%","13.1","51.4","55.9","3.15","3.38","3.36","Sociology","Intmd Psychology","Psychology","Undeclared","Mass Communication","International Studies","Social Work","Speech Communication","Modern Dance","Economics","6%","10%","40%","44%","0%","SOC 3111 - Research Methods","SOC 3638 - Soc of Marriage & Fam","PSY 3410 - Social Psychology","SOC 1015 - Intro to Data Analysis","PSY 3120 - Cognitive Psychology","JUDGE MEMORIAL HIGH","BOUNTIFUL HIGH SCHOO","COPPER HILLS HIGH SC","EAST HIGH SCHOOL","HIGHLAND HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY UNIVERSITY","SOUTHERN UTAH UNIVERSITY","BRIGHAM YOUNG UNIVERSITY","COLLEGE OF EASTERN UTAH",3140,2,1088,"GEOG"
"5","3","31","0","0","0","0","39","23.8","31%","82%","87%","49%","95%","0%","13.0","48.2","52.7","3.12","3.49","3.33","Sociology","Psychology","Undeclared","Human Develop & Family Std","Mass Communication","Intmd Psychology","Social Work","Business","Economics","International Studies","5%","21%","23%","51%","0%","SOC 3140 - Social Theory","SOC 3365 - Ethnic Minorities Amer","SOC 3561 - Criminology","SOC 3565 - Women and Crime","SOC 3741 - Sociology of Migration","BRIGHTON HIGH SCHOOL","EAST HIGH SCHOOL","SKYLINE HIGH SCHOOL","TAYLORSVILLE HIGH SC","ALTA HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY - IDAHO","IDAHO STATE UNIVERSITY","SNOW COLLEGE",3020,1,1094,"GEOG"
"60","10","48","0","0","0","3","121","24.8","45%","82%","73%","36%","92%","0%","12.7","40.0","52.3","2.83","3.44","3.07","Undeclared","Business","Psychology","Sociology","Intmd Business","Social Work","Nursing","Medicine","Economics","Political Science","18%","30%","26%","26%","0%","IS 2010 - Computer Essentials","ECON 2010 - Princ Of Microeconomics","POLS 1100 - US National Govt","ECON 2020 - Princ Of Macroeconomics","PHIL 1000 - Intro: Survey of Philosophy","BINGHAM HIGH SCHOOL","JORDAN HIGH SCHOOL","JUAN DIEGO CATHOLIC","OLYMPUS HIGH SCHOOL","WEST JORDAN HIGH SCH","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY UNIVERSITY","WEBER STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY","SOUTHERN UTAH UNIVERSITY",1010,90,1098,"GEOG"
"3","4","34","0","0","0","0","41","24.5","41%","56%","90%","56%","95%","2%","13.2","52.8","56.6","3.12","3.50","3.29","Sociology","Political Science","Undeclared","Intmd Psychology","Psychology","Business","Human Dev & Family Std","Civil Engg",NA,NA,"5%","15%","24%","56%","0%","SOC 3111 - Research Methods","SOC 3638 - Soc of Marriage & Fam","SOC 3560 - Deviant Beh/Soc Control","SOC 3365 - Ethnic Minorities Amer","PSY 3120 - Cognitive Psychology","DAVIS HIGH SCHOOL","SKYLINE HIGH SCHOOL","ALTA HIGH SCHOOL","BENJAMIN CARDOZO HIG","BOUNTIFUL HIGH SCHOO","SALT LAKE COMMUNITY COLLEGE","BERGEN COMMUNITY COLLEGE","BRIGHAM YOUNG UNIVERSITY","CENTRAL WASHINGTON UNIVERSITY","UNIVERSITE PAUL CEZANNE AIX-MARSEILLE III",3140,1,1098,"GEOG"
"6","3","19","0","0","0","1","29","25.0","52%","72%","76%","59%","90%","3%","13.8","59.8","52.8","2.92","3.41","3.19","Sociology","Undeclared","Intmd Psychology","Nursing","Political Science","Social Work","Psychology","Art Tchg","Anthropology","Business","21%","14%","21%","45%","0%","SOC 3111 - Research Methods","SOC 3337 - Gender & Sexuality","SOC 3381 - Inequal thru Music&Film","SOC 3561 - Criminology","SOC 1010 - Intro To Sociology","DAVIS HIGH SCHOOL","COTTONWOOD HIGH SCHO","JUAN DIEGO CATHOLIC","OGDEN SENIOR HIGH SC","OLYMPUS HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","SOUTHERN UTAH UNIVERSITY","BOISE STATE UNIVERSITY","DIXIE STATE COLLEGE","SIMPSON COLLEGE",3140,2,1098,"GEOG"
"13","1","31","0","0","0","1","46","23.3","54%","70%","85%","26%","83%","0%","13.1","39.1","54.1","2.89","3.35","3.17","Sociology","Undeclared","Computer Science","English","Biology","Psychology","Art","Chemical Engg","Theatre","Parks Recreat & Tourism","22%","28%","20%","30%","0%","SOC 3042 - Sociology of Film","SOC 1015 - Doing Sociology","SOC 3381 - Inequal thru Music&Film","SOC 3112 - Social Statistics","SOC 3111 - Research Methods","WEST HIGH SCHOOL","JUDGE MEMORIAL HIGH","SKYLINE HIGH SCHOOL","WEST JORDAN HIGH SCH","WOODS CROSS HIGH SCH","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY UNIVERSITY","COLLEGE OF EASTERN UTAH","SAINT LOUIS UNIVERSITY MAIN CAMPUS","UNIVERSITY OF DENVER",3440,1,1098,"GEOG"
"61","14","57","0","0","0","0","132","24.0","55%","77%","67%","36%","92%","5%","12.4","42.4","53.7","2.85","3.47","3.11","Business","Undeclared","Intmd Business","Psychology","Sociology","Nursing","Computer Science","Architectural Studies","English","Mass Communication","15%","30%","27%","27%","0%","BUS 1050 - Foundations of Business","IS 2010 - Computer Essentials","ECON 2010 - Princ Of Microeconomics","POLS 1100 - US National Govt","ECON 2020 - Princ Of Macroeconomics","FOREIGN HIGH SCHOOL","SKYLINE HIGH SCHOOL","DAVIS HIGH SCHOOL","ALTA HIGH SCHOOL","JORDAN HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY UNIVERSITY","WEBER STATE UNIVERSITY","ALLAN HANCOCK COLLEGE","LDS BUSINESS COLLEGE",1010,90,1108,"GEOG"
"8","0","43","0","0","0","0","51","24.5","45%","61%","86%","57%","86%","0%","13.3","50.0","55.8","3.00","3.33","3.10","Sociology","Psychology","Undeclared","Human Develop & Family Std","Anthropology","Political Science","Business","Economics","Biology","Accounting","4%","24%","27%","45%","0%","SOC 3111 - Research Methods","SOC 3112 - Social Statistics","SOC 1015 - Doing Sociology","SOC 3337 - Gender & Sexuality","SOC 3561 - Criminology","JUAN DIEGO CATHOLIC","BRIGHTON HIGH SCHOOL","GRANGER HIGH SCHOOL","ALEXANDER SCHOOL THE","BOUNTIFUL HIGH SCHOO","SALT LAKE COMMUNITY COLLEGE","IDAHO STATE UNIVERSITY","LDS BUSINESS COLLEGE","SNOW COLLEGE","BARSTOW COLLEGE",3140,1,1108,"GEOG"
"12","0","33","0","0","0","4","49","26.1","51%","73%","86%","31%","92%","4%","13.1","44.6","45.1","2.99","3.48","3.24","Sociology","Undeclared","Political Science","Psychology","Education","House Bill","Anthropology","Biology","Japanese","Business","37%","14%","24%","24%","0%","WRTG 2010 - Intermediate Writing","SOC 3140 - Social Theory","BIOL 1210 - Principles of Biology","SOC 3337 - Gender & Sexuality","HIST 1700 - American Civilization","ALTA HIGH SCHOOL","SKYLINE HIGH SCHOOL","WEST HIGH SCHOOL","COTTONWOOD HIGH SCHO","PARK CITY HIGH SCHOO","SALT LAKE COMMUNITY COLLEGE","LDS BUSINESS COLLEGE","BRIGHAM YOUNG UNIVERSITY - IDAHO","CALIFORNIA POLYTECHNIC STATE UNIV-SAN LUIS OB","COLLEGE OF EASTERN UTAH",3440,1,1108,"GEOG"
"0","0","0","1","0","0","0","1","27.0","100%","100%","100%","0%","0%","0%","12.0","0.0","0.0","0.00","4.00","0.00","Sociology MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0%","0%","0%","0%","100%","SOC 6010 - Proseminar in Sociology","SOC 6050 - Classical Soc Theory","SOC 6120 - Statistics I","SOC 7800 - Profess Development","","SKYLINE HIGH SCHOOL",NA,NA,NA,NA,"0","0","0","0","0",5440,1,1108,"GEOG"
"56","12","62","0","0","0","2","132","25.0","53%","77%","71%","37%","95%","2%","12.7","44.8","49.6","2.89","3.39","3.10","Undeclared","Business","Intmd Business","Social Work","Sociology","Exercise & Sport Sci","Psychology","Medicine","Human Develop & Family Std","International Studies","15%","32%","21%","32%","0%","IS 2010 - Computer Essentials","ECON 2010 - Princ Of Microeconomics","WRTG 2010 - Intermediate Writing","BUS 1050 - Foundations of Business","PHIL 1001 - Intro: Ethical Dilemmas","WEST HIGH SCHOOL","VIEWMONT HIGH SCHOOL","ALTA HIGH SCHOOL","HILLCREST HIGH SCHOO","JUDGE MEMORIAL HIGH","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY UNIVERSITY","LDS BUSINESS COLLEGE","UTAH STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY - IDAHO",1010,90,1114,"GEOG"
"48","2","55","0","0","0","2","107","24.5","43%","80%","73%","25%","93%","4%","12.6","39.7","52.9","2.87","3.43","3.16","Psychology","Undeclared","Biology","Sociology","Business","Education","Mass Communication","Biomedical Engineering","Medicine","Nursing","21%","27%","25%","27%","0%","MATH 1010 - Intrm Algebra","CHEM 2310 - Organic Chemistry I","CHEM 2315 - Organic Chemistry Lab I","SOC 1015 - Doing Sociology","SOC 3561 - Criminology","EAST HIGH SCHOOL","ALTA HIGH SCHOOL","JORDAN HIGH SCHOOL","JUAN DIEGO CATHOLIC","WEST HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY UNIVERSITY","UTAH STATE UNIVERSITY","BRIGHAM YOUNG UNIVERSITY","BUTTE COLLEGE",1010,90,1118,"GEOG"
"9","0","50","0","0","0","0","59","25.3","47%","64%","88%","53%","88%","0%","13.4","53.6","61.2","3.16","3.55","3.20","Sociology","Psychology","Medicine","Undeclared","Economics","Political Science","Exercise & Sport Sci","SS Behav Science & Health","Mass Communication","Law","3%","7%","37%","53%","0%","SOC 3111 - Research Methods","SOC 3562 - Juvenile Delinquency","SOC 3561 - Criminology","SOC 1015 - Doing Sociology","SOC 3112 - Social Statistics","LONE PEAK HIGH SCHOO","ALTA HIGH SCHOOL","AMES - ACAD MATH ENG","COPPER HILLS HIGH SC","COTTONWOOD HIGH SCHO","SALT LAKE COMMUNITY COLLEGE","SNOW COLLEGE","UTAH VALLEY UNIVERSITY","BLINN COLLEGE","COLLEGE OF SOUTHERN IDAHO",3140,1,1118,"GEOG"
"1","0","8","0","0","0","0","9","29.4","11%","44%","67%","67%","100%","0%","12.6","47.3","55.0","3.18","3.60","3.07","Sociology","International Studies","Psychology","Anthropology","Human Develop & Family Std",NA,NA,NA,NA,NA,"0%","22%","22%","56%","0%","SOC 3140 - Social Theory","SOC 1015 - Doing Sociology","SOC 3111 - Research Methods","POLS 4900 - Internship: Local","ESSF 1008 - Zumba","GRANGER HIGH SCHOOL","PARK CITY HIGH SCHOO",NA,NA,NA,"SALT LAKE COMMUNITY COLLEGE","LDS BUSINESS COLLEGE",NA,NA,NA,3200,1,1118,"GEOG"
"2","0","9","0","0","0","0","11","24.6","45%","36%","73%","64%","100%","0%","11.5","53.5","61.4","2.88","3.42","3.03","Sociology","Biology","Business","Information Systems",NA,NA,NA,NA,NA,NA,"0%","0%","73%","27%","0%","SOC 3561 - Criminology","SOC 3562 - Juvenile Delinquency","SOC 3381 - Inequal thru Music&Film","SOC 3673 - Social Epidemiology","SOC 1015 - Doing Sociology","CYPRUS HIGH SCHOOL","PAYSON SENIOR HIGH S","VIEWMONT HIGH SCHOOL",NA,NA,"SALT LAKE COMMUNITY COLLEGE","BRIGHAM YOUNG UNIVERSITY HAWAII CAMPUS","LDS BUSINESS COLLEGE","UNIVERSITY OF COLORADO-COLORADO SPRINGS","UTAH VALLEY UNIVERSITY",3310,1,1118,"GEOG"
"9","0","28","0","0","0","1","38","23.1","50%","74%","87%","13%","100%","0%","13.4","35.8","58.6","3.17","3.46","3.54","Sociology","Undeclared","Theatre","Computer Science","Film and Media Arts","Psychology","Mass Communication","Art","House Bill","Linguistics","18%","32%","32%","18%","0%","SOC 3381 - Inequal thru Music&Film","SOC 1015 - Doing Sociology","SOC 3111 - Research Methods","SOC 1010 - Intro To Sociology","SOC 3140 - Social Theory","HIGHLAND HIGH SCHOOL","ALTA HIGH SCHOOL","COTTONWOOD HIGH SCHO","HILLCREST HIGH SCHOO","OLYMPUS HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","UTAH VALLEY UNIVERSITY",NA,NA,NA,3440,1,1118,"GEOG"
"27","0","47","0","0","0","4","78","23.5","38%","73%","78%","29%","97%","1%","13.4","34.6","59.8","3.02","3.51","3.25","Undeclared","Sociology","Medicine","Psychology","Social Work","Exercise & Sport Sci","Non Matriculated","Business","Health Promotion & Educatn","Biology","15%","21%","27%","37%","0%","PSY 1010 - General Psychology","HIST 1700 - American Civilization","BIOL 2325 - Human Anatomy","BIOL 2420 - Human Physiology","MATH 1010 - Intrm Algebra","BOUNTIFUL HIGH SCHOO","SKYLINE HIGH SCHOOL","EAST HIGH SCHOOL","WEST HIGH SCHOOL","ALTA HIGH SCHOOL","SALT LAKE COMMUNITY COLLEGE","DIXIE STATE COLLEGE","UTAH VALLEY UNIVERSITY","BRIGHAM YOUNG UNIVERSITY","LDS BUSINESS COLLEGE",1010,90,1124,"GEOG"
